#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 04 21 56 999 99.0 99.0  2.41 15.38  8.88 292 9999.0 999.0  14.6 999.0 99.0 99.00
2023 01 04 22 26 999 99.0 99.0  2.38 15.38  8.99 299 9999.0 999.0  14.7 999.0 99.0 99.00
2023 01 04 22 56 999 99.0 99.0  2.41 15.38  9.25 303 9999.0 999.0  14.9 999.0 99.0 99.00
2023 01 04 23 26 999 99.0 99.0  2.62 15.38  9.27 310 9999.0 999.0  15.1 999.0 99.0 99.00
2023 01 04 23 56 999 99.0 99.0  2.30 16.67  7.92 302 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 05 00 26 999 99.0 99.0  2.55 14.29  8.43 296 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 05 00 56 999 99.0 99.0  2.66 15.38  8.69 286 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 05 01 26 999 99.0 99.0  2.50 15.38  8.08 296 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 05 01 56 999 99.0 99.0  2.67 14.29  7.99 295 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 05 02 26 999 99.0 99.0  2.93 15.38  8.62 289 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 05 02 56 999 99.0 99.0  2.63 13.33  7.67 288 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 05 03 26 999 99.0 99.0  2.56 15.38  8.15 289 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 05 03 56 999 99.0 99.0  2.46 14.29  7.17 283 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 05 04 26 999 99.0 99.0  2.56 15.38  7.34 285 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 05 04 56 999 99.0 99.0  2.66 15.38  7.12 283 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 05 05 26 999 99.0 99.0  2.55 15.38  6.72 282 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 05 05 56 999 99.0 99.0  2.49 16.67  6.94 286 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 05 06 26 999 99.0 99.0  2.71 16.67  6.83 288 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 05 06 56 999 99.0 99.0  2.89 14.29  7.19 282 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 05 07 26 999 99.0 99.0  2.69 14.29  7.27 288 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 05 07 56 999 99.0 99.0  2.97  7.14  7.18 224 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 05 08 26 999 99.0 99.0  3.02 15.38  7.11 290 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 05 08 56 999 99.0 99.0  2.93 15.38  7.26 278 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 05 09 26 999 99.0 99.0  2.79 14.29  7.21 286 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 05 09 56 999 99.0 99.0  3.16 14.29  7.68 285 9999.0 999.0  15.5 999.0 99.0 99.00
2023 01 05 10 26 999 99.0 99.0  3.25 14.29  7.23 290 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 05 10 56 999 99.0 99.0  3.46 13.33  7.57 283 9999.0 999.0  15.4 999.0 99.0 99.00
